"Date","Price","Open","High","Low","Vol","Change %"
"04/10/2018","1.2603","1.2697","1.2710","1.2586","","-0.75%"
"04/09/2018","1.2698","1.2771","1.2820","1.2688","","-0.67%"
"04/06/2018","1.2784","1.2747","1.2797","1.2731","","0.27%"
"04/05/2018","1.2749","1.2770","1.2807","1.2742","","-0.16%"
"04/04/2018","1.2770","1.2807","1.2849","1.2756","","-0.29%"
"04/03/2018","1.2807","1.2912","1.2925","1.2779","","-0.82%"
"04/02/2018","1.2913","1.2903","1.2946","1.2861","","0.15%"
"03/30/2018","1.2894","1.2882","1.2903","1.2860","","0.08%"
"03/29/2018","1.2884","1.2920","1.2936","1.2861","","-0.30%"
"03/28/2018","1.2923","1.2884","1.2934","1.2861","","0.31%"
"03/27/2018","1.2883","1.2845","1.2904","1.2812","","0.33%"
"03/26/2018","1.2841","1.2892","1.2924","1.2837","","-0.40%"
"03/23/2018","1.2893","1.2940","1.2942","1.2821","","-0.36%"
"03/22/2018","1.2940","1.2904","1.2951","1.2828","","0.29%"
"03/21/2018","1.2903","1.3068","1.3080","1.2887","","-1.29%"
"03/20/2018","1.3072","1.3078","1.3102","1.3050","","-0.04%"
"03/19/2018","1.3077","1.3100","1.3126","1.3046","","-0.15%"
"03/16/2018","1.3097","1.3053","1.3100","1.3043","","0.34%"
"03/15/2018","1.3053","1.2952","1.3068","1.2940","","0.76%"
"03/14/2018","1.2955","1.2967","1.2977","1.2918","","-0.08%"
"03/13/2018","1.2965","1.2842","1.2986","1.2828","","0.98%"
"03/12/2018","1.2839","1.2825","1.2847","1.2803","","0.21%"
"03/09/2018","1.2812","1.2896","1.2911","1.2807","","-0.65%"
"03/08/2018","1.2896","1.2909","1.2962","1.2864","","-0.12%"
"03/07/2018","1.2912","1.2877","1.3002","1.2872","","0.28%"
"03/06/2018","1.2876","1.2963","1.2995","1.2861","","-0.68%"
"03/05/2018","1.2964","1.2873","1.3001","1.2869","","0.65%"
"03/02/2018","1.2880","1.2838","1.2917","1.2816","","0.32%"
"03/01/2018","1.2839","1.2832","1.2898","1.2808","","0.05%"
"02/28/2018","1.2832","1.2775","1.2843","1.2759","","0.44%"
"02/27/2018","1.2776","1.2681","1.2779","1.2665","","0.75%"
"02/26/2018","1.2681","1.2645","1.2713","1.2614","","0.40%"
"02/23/2018","1.2630","1.2707","1.2727","1.2626","","-0.59%"
"02/22/2018","1.2705","1.2702","1.2759","1.2669","","0.02%"
"02/21/2018","1.2703","1.2647","1.2705","1.2624","","0.45%"
"02/20/2018","1.2646","1.2560","1.2650","1.2555","","0.68%"
"02/19/2018","1.2561","1.2551","1.2595","1.2528","","0.03%"
"02/16/2018","1.2557","1.2482","1.2568","1.2447","","0.63%"
"02/15/2018","1.2478","1.2492","1.2539","1.2462","","-0.10%"
"02/14/2018","1.2490","1.2591","1.2650","1.2488","","-0.81%"
"02/13/2018","1.2592","1.2576","1.2626","1.2563","","0.14%"
"02/12/2018","1.2575","1.2586","1.2624","1.2555","","-0.02%"
"02/09/2018","1.2578","1.2604","1.2685","1.2558","","-0.20%"
"02/08/2018","1.2603","1.2565","1.2613","1.2542","","0.27%"
"02/07/2018","1.2569","1.2491","1.2579","1.2488","","0.62%"
"02/06/2018","1.2491","1.2537","1.2566","1.2488","","-0.38%"
"02/05/2018","1.2539","1.2432","1.2544","1.2397","","0.91%"
"02/02/2018","1.2426","1.2266","1.2437","1.2254","","1.29%"
"02/01/2018","1.2268","1.2315","1.2333","1.2255","","-0.38%"
"01/31/2018","1.2315","1.2334","1.2350","1.2248","","-0.15%"
"01/30/2018","1.2334","1.2341","1.2381","1.2307","","-0.03%"
"01/29/2018","1.2338","1.2316","1.2362","1.2305","","0.22%"
"01/26/2018","1.2311","1.2378","1.2392","1.2291","","-0.57%"
"01/25/2018","1.2382","1.2349","1.2394","1.2281","","0.27%"
"01/24/2018","1.2349","1.2421","1.2429","1.2314","","-0.54%"
"01/23/2018","1.2416","1.2444","1.2492","1.2416","","-0.23%"
"01/22/2018","1.2444","1.2486","1.2518","1.2431","","-0.36%"
"01/19/2018","1.2489","1.2416","1.2509","1.2397","","0.57%"
"01/18/2018","1.2418","1.2436","1.2488","1.2413","","-0.14%"
"01/17/2018","1.2436","1.2436","1.2539","1.2370","","0.01%"
"01/16/2018","1.2435","1.2429","1.2453","1.2394","","0.05%"
"01/15/2018","1.2429","1.2464","1.2472","1.2399","","-0.22%"
"01/12/2018","1.2457","1.2518","1.2557","1.2454","","-0.50%"
"01/11/2018","1.2519","1.2544","1.2591","1.2513","","-0.22%"
"01/10/2018","1.2547","1.2464","1.2585","1.2425","","0.67%"
"01/09/2018","1.2464","1.2422","1.2479","1.2395","","0.35%"
"01/08/2018","1.2421","1.2415","1.2450","1.2377","","0.10%"
"01/05/2018","1.2409","1.2486","1.2515","1.2353","","-0.62%"
"01/04/2018","1.2487","1.2532","1.2556","1.2482","","-0.37%"
"01/03/2018","1.2533","1.2513","1.2555","1.2498","","0.16%"
"01/02/2018","1.2513","1.2543","1.2561","1.2499","","-0.26%"
"01/01/2018","1.2545","1.2579","1.2582","1.2544","","-0.27%"
"12/29/2017","1.2579","1.2569","1.2586","1.2513","","0.08%"
"12/28/2017","1.2569","1.2655","1.2663","1.2564","","-0.68%"
"12/27/2017","1.2655","1.2687","1.2697","1.2625","","-0.28%"
"12/26/2017","1.2690","1.2729","1.2737","1.2684","","-0.31%"
"12/25/2017","1.2729","1.2724","1.2742","1.2714","","-0.03%"
"12/22/2017","1.2733","1.2741","1.2797","1.2695","","-0.04%"
"12/21/2017","1.2738","1.2833","1.2839","1.2696","","-0.76%"
"12/20/2017","1.2836","1.2875","1.2882","1.2816","","-0.33%"
"12/19/2017","1.2878","1.2860","1.2920","1.2848","","0.12%"
"12/18/2017","1.2862","1.2874","1.2882","1.2842","","0.00%"
"12/15/2017","1.2862","1.2799","1.2892","1.2737","","0.52%"
"12/14/2017","1.2796","1.2819","1.2867","1.2711","","-0.15%"
"12/13/2017","1.2815","1.2865","1.2882","1.2791","","-0.37%"
"12/12/2017","1.2862","1.2857","1.2893","1.2811","","0.05%"
"12/11/2017","1.2856","1.2854","1.2871","1.2831","","0.09%"
"12/08/2017","1.2845","1.2851","1.2881","1.2803","","-0.05%"
"12/07/2017","1.2851","1.2790","1.2869","1.2783","","0.48%"
"12/06/2017","1.2790","1.2688","1.2809","1.2650","","0.80%"
"12/05/2017","1.2688","1.2670","1.2706","1.2622","","0.14%"
"12/04/2017","1.2670","1.2686","1.2728","1.2654","","-0.10%"
"12/01/2017","1.2683","1.2897","1.2903","1.2681","","-1.65%"
"11/30/2017","1.2896","1.2866","1.2912","1.2849","","0.24%"
"11/29/2017","1.2865","1.2811","1.2875","1.2802","","0.38%"
"11/28/2017","1.2816","1.2768","1.2825","1.2751","","0.37%"
"11/27/2017","1.2769","1.2712","1.2772","1.2678","","0.42%"
"11/24/2017","1.2715","1.2712","1.2749","1.2691","","0.02%"
"11/23/2017","1.2713","1.2696","1.2728","1.2671","","0.16%"
"11/22/2017","1.2693","1.2778","1.2789","1.2692","","-0.67%"
"11/21/2017","1.2778","1.2820","1.2838","1.2747","","-0.33%"
"11/20/2017","1.2820","1.2767","1.2822","1.2753","","0.45%"
"11/17/2017","1.2763","1.2758","1.2825","1.2711","","0.05%"
"11/16/2017","1.2757","1.2765","1.2785","1.2726","","-0.05%"
"11/15/2017","1.2764","1.2732","1.2792","1.2712","","0.26%"
"11/14/2017","1.2731","1.2733","1.2774","1.2698","","-0.02%"
"11/13/2017","1.2733","1.2684","1.2743","1.2677","","0.40%"
"11/10/2017","1.2682","1.2680","1.2697","1.2664","","-0.01%"
"11/09/2017","1.2683","1.2727","1.2742","1.2665","","-0.35%"
"11/08/2017","1.2727","1.2774","1.2782","1.2714","","-0.37%"
"11/07/2017","1.2774","1.2704","1.2821","1.2701","","0.55%"
"11/06/2017","1.2704","1.2764","1.2784","1.2701","","-0.46%"
"11/03/2017","1.2763","1.2808","1.2837","1.2713","","-0.35%"
"11/02/2017","1.2808","1.2866","1.2877","1.2798","","-0.47%"
"11/01/2017","1.2868","1.2890","1.2913","1.2853","","-0.14%"
"10/31/2017","1.2886","1.2832","1.2916","1.2820","","0.44%"
"10/30/2017","1.2830","1.2818","1.2862","1.2811","","0.17%"
"10/27/2017","1.2808","1.2847","1.2918","1.2805","","-0.30%"
"10/26/2017","1.2847","1.2792","1.2859","1.2779","","0.40%"
"10/25/2017","1.2796","1.2675","1.2818","1.2656","","0.95%"
"10/24/2017","1.2675","1.2652","1.2694","1.2619","","0.18%"
"10/23/2017","1.2652","1.2625","1.2663","1.2611","","0.21%"
"10/20/2017","1.2626","1.2486","1.2631","1.2474","","1.12%"
"10/19/2017","1.2486","1.2465","1.2496","1.2448","","0.15%"
"10/18/2017","1.2467","1.2522","1.2535","1.2455","","-0.42%"
"10/17/2017","1.2520","1.2515","1.2592","1.2511","","0.02%"
"10/16/2017","1.2518","1.2478","1.2558","1.2469","","0.40%"
"10/13/2017","1.2468","1.2473","1.2521","1.2450","","-0.05%"
"10/12/2017","1.2474","1.2457","1.2492","1.2431","","0.11%"
"10/11/2017","1.2460","1.2515","1.2532","1.2450","","-0.44%"
"10/10/2017","1.2515","1.2549","1.2557","1.2481","","-0.27%"
"10/09/2017","1.2549","1.2532","1.2560","1.2525","","0.10%"
"10/06/2017","1.2536","1.2565","1.2599","1.2523","","-0.23%"
"10/05/2017","1.2565","1.2475","1.2586","1.2460","","0.74%"
"10/04/2017","1.2473","1.2489","1.2498","1.2446","","-0.12%"
"10/03/2017","1.2488","1.2509","1.2540","1.2478","","-0.17%"
"10/02/2017","1.2509","1.2475","1.2526","1.2467","","0.31%"
"09/29/2017","1.2470","1.2429","1.2530","1.2414","","0.35%"
"09/28/2017","1.2426","1.2477","1.2521","1.2414","","-0.38%"
"09/27/2017","1.2474","1.2349","1.2484","1.2333","","1.03%"
"09/26/2017","1.2347","1.2371","1.2414","1.2328","","-0.19%"
"09/25/2017","1.2371","1.2335","1.2387","1.2311","","0.27%"
"09/22/2017","1.2338","1.2328","1.2353","1.2253","","0.09%"
"09/21/2017","1.2327","1.2326","1.2369","1.2318","","0.05%"
"09/20/2017","1.2321","1.2292","1.2391","1.2200","","0.25%"
"09/19/2017","1.2290","1.2291","1.2310","1.2252","","0.00%"
"09/18/2017","1.2290","1.2195","1.2340","1.2171","","0.79%"
"09/15/2017","1.2194","1.2165","1.2221","1.2119","","0.25%"
"09/14/2017","1.2164","1.2171","1.2240","1.2154","","-0.07%"
"09/13/2017","1.2173","1.2187","1.2221","1.2129","","-0.09%"
"09/12/2017","1.2184","1.2109","1.2191","1.2080","","0.61%"
"09/11/2017","1.2110","1.2158","1.2171","1.2096","","-0.36%"
"09/08/2017","1.2154","1.2112","1.2167","1.2059","","0.34%"
"09/07/2017","1.2113","1.2227","1.2242","1.2108","","-0.92%"
"09/06/2017","1.2225","1.2373","1.2417","1.2136","","-1.19%"
"09/05/2017","1.2372","1.2418","1.2418","1.2334","","-0.37%"
"09/04/2017","1.2418","1.2402","1.2431","1.2376","","0.18%"
"09/01/2017","1.2396","1.2479","1.2493","1.2339","","-0.69%"
"08/31/2017","1.2482","1.2621","1.2664","1.2474","","-1.10%"
"08/30/2017","1.2621","1.2512","1.2638","1.2498","","0.88%"
"08/29/2017","1.2511","1.2505","1.2550","1.2438","","0.02%"
"08/28/2017","1.2508","1.2475","1.2511","1.2441","","0.22%"
"08/25/2017","1.2481","1.2519","1.2541","1.2463","","-0.30%"
"08/24/2017","1.2518","1.2555","1.2563","1.2512","","-0.29%"
"08/23/2017","1.2555","1.2562","1.2597","1.2537","","-0.05%"
"08/22/2017","1.2561","1.2556","1.2596","1.2525","","0.02%"
"08/21/2017","1.2559","1.2568","1.2608","1.2552","","-0.21%"
"08/18/2017","1.2586","1.2682","1.2693","1.2555","","-0.73%"
"08/17/2017","1.2679","1.2618","1.2685","1.2586","","0.50%"
"08/16/2017","1.2616","1.2754","1.2771","1.2611","","-1.11%"
"08/15/2017","1.2757","1.2723","1.2781","1.2717","","0.28%"
"08/14/2017","1.2721","1.2674","1.2733","1.2670","","0.30%"
"08/11/2017","1.2683","1.2744","1.2754","1.2650","","-0.48%"
"08/10/2017","1.2744","1.2701","1.2748","1.2671","","0.35%"
"08/09/2017","1.2700","1.2665","1.2723","1.2663","","0.26%"
"08/08/2017","1.2667","1.2681","1.2706","1.2650","","-0.11%"
"08/07/2017","1.2681","1.2649","1.2716","1.2629","","0.23%"
"08/04/2017","1.2652","1.2584","1.2669","1.2555","","0.52%"
"08/03/2017","1.2586","1.2570","1.2620","1.2552","","0.16%"
"08/02/2017","1.2566","1.2536","1.2591","1.2530","","0.24%"
"08/01/2017","1.2536","1.2479","1.2554","1.2450","","0.46%"
"07/31/2017","1.2479","1.2441","1.2530","1.2431","","0.36%"
"07/28/2017","1.2434","1.2555","1.2569","1.2419","","-0.95%"
"07/27/2017","1.2553","1.2447","1.2575","1.2414","","0.87%"
"07/26/2017","1.2445","1.2510","1.2544","1.2414","","-0.51%"
"07/25/2017","1.2509","1.2510","1.2534","1.2480","","0.00%"
"07/24/2017","1.2509","1.2538","1.2553","1.2484","","-0.24%"
"07/21/2017","1.2539","1.2590","1.2610","1.2522","","-0.41%"
"07/20/2017","1.2590","1.2606","1.2641","1.2542","","-0.13%"
"07/19/2017","1.2606","1.2627","1.2654","1.2578","","-0.17%"
"07/18/2017","1.2628","1.2698","1.2703","1.2580","","-0.55%"
"07/17/2017","1.2698","1.2646","1.2701","1.2627","","0.44%"
"07/14/2017","1.2643","1.2721","1.2750","1.2643","","-0.62%"
"07/13/2017","1.2722","1.2750","1.2772","1.2720","","-0.22%"
"07/12/2017","1.2750","1.2915","1.2941","1.2685","","-1.27%"
"07/11/2017","1.2914","1.2891","1.2945","1.2884","","0.18%"
"07/10/2017","1.2891","1.2879","1.2934","1.2871","","0.12%"
"07/07/2017","1.2876","1.2978","1.2995","1.2859","","-0.79%"
"07/06/2017","1.2978","1.2957","1.2985","1.2923","","0.16%"
"07/05/2017","1.2957","1.2936","1.3016","1.2928","","0.15%"
"07/04/2017","1.2937","1.3007","1.3016","1.2912","","-0.55%"
"07/03/2017","1.3008","1.2967","1.3014","1.2965","","0.33%"
"06/30/2017","1.2965","1.3005","1.3014","1.2948","","-0.30%"
"06/29/2017","1.3004","1.3038","1.3044","1.2984","","-0.27%"
"06/28/2017","1.3039","1.3196","1.3199","1.3013","","-1.21%"
"06/27/2017","1.3199","1.3245","1.3262","1.3147","","-0.33%"
"06/26/2017","1.3243","1.3266","1.3273","1.3211","","-0.18%"
"06/23/2017","1.3267","1.3234","1.3309","1.3210","","0.25%"
"06/22/2017","1.3234","1.3334","1.3339","1.3207","","-0.75%"
"06/21/2017","1.3334","1.3268","1.3349","1.3263","","0.51%"
"06/20/2017","1.3267","1.3217","1.3287","1.3203","","0.37%"
"06/19/2017","1.3218","1.3217","1.3257","1.3191","","0.05%"
"06/16/2017","1.3212","1.3269","1.3275","1.3209","","-0.44%"
"06/15/2017","1.3270","1.3244","1.3310","1.3224","","0.17%"
"06/14/2017","1.3247","1.3240","1.3273","1.3164","","0.04%"
"06/13/2017","1.3242","1.3326","1.3326","1.3211","","-0.62%"
"06/12/2017","1.3324","1.3458","1.3472","1.3319","","-1.08%"
"06/09/2017","1.3470","1.3510","1.3541","1.3422","","-0.28%"
"06/08/2017","1.3508","1.3509","1.3524","1.3485","","-0.01%"
"06/07/2017","1.3509","1.3453","1.3526","1.3424","","0.40%"
"06/06/2017","1.3455","1.3472","1.3487","1.3436","","-0.13%"
"06/05/2017","1.3473","1.3493","1.3502","1.3458","","-0.07%"
"06/02/2017","1.3482","1.3514","1.3548","1.3479","","-0.24%"
"06/01/2017","1.3515","1.3501","1.3528","1.3472","","0.10%"
"05/31/2017","1.3501","1.3459","1.3524","1.3435","","0.30%"
"05/30/2017","1.3460","1.3453","1.3508","1.3450","","0.04%"
"05/29/2017","1.3454","1.3447","1.3469","1.3426","","0.06%"
"05/26/2017","1.3446","1.3484","1.3499","1.3433","","-0.28%"
"05/25/2017","1.3484","1.3406","1.3494","1.3386","","0.57%"
"05/24/2017","1.3408","1.3513","1.3541","1.3403","","-0.79%"
"05/23/2017","1.3515","1.3501","1.3525","1.3455","","0.09%"
"05/22/2017","1.3503","1.3520","1.3542","1.3484","","-0.08%"
"05/19/2017","1.3514","1.3603","1.3612","1.3509","","-0.65%"
"05/18/2017","1.3603","1.3603","1.3671","1.3581","","0.00%"
"05/17/2017","1.3603","1.3605","1.3643","1.3570","","-0.02%"
"05/16/2017","1.3606","1.3632","1.3661","1.3574","","-0.19%"
"05/15/2017","1.3632","1.3696","1.3723","1.3600","","-0.57%"
"05/12/2017","1.3710","1.3697","1.3743","1.3666","","0.09%"
"05/11/2017","1.3697","1.3657","1.3772","1.3652","","0.31%"
"05/10/2017","1.3655","1.3720","1.3734","1.3647","","-0.47%"
"05/09/2017","1.3720","1.3689","1.3753","1.3669","","0.22%"
"05/08/2017","1.3690","1.3665","1.3735","1.3642","","0.28%"
"05/05/2017","1.3652","1.3748","1.3795","1.3642","","-0.71%"
"05/04/2017","1.3749","1.3730","1.3776","1.3699","","0.15%"
"05/03/2017","1.3729","1.3708","1.3742","1.3679","","0.15%"
"05/02/2017","1.3709","1.3682","1.3759","1.3649","","0.20%"
"05/01/2017","1.3681","1.3654","1.3687","1.3635","","0.21%"
"04/28/2017","1.3652","1.3634","1.3699","1.3624","","0.14%"
"04/27/2017","1.3633","1.3615","1.3672","1.3530","","0.13%"
"04/26/2017","1.3615","1.3573","1.3624","1.3543","","0.32%"
"04/25/2017","1.3572","1.3503","1.3629","1.3499","","0.53%"
"04/24/2017","1.3501","1.3498","1.3523","1.3410","","0.01%"
"04/21/2017","1.3499","1.3471","1.3526","1.3458","","0.22%"
"04/20/2017","1.3470","1.3486","1.3501","1.3456","","-0.11%"
"04/19/2017","1.3485","1.3380","1.3492","1.3374","","0.81%"
"04/18/2017","1.3377","1.3316","1.3399","1.3310","","0.45%"
"04/17/2017","1.3317","1.3323","1.3324","1.3262","","-0.07%"
"04/14/2017","1.3326","1.3329","1.3337","1.3309","","-0.02%"
"04/13/2017","1.3329","1.3255","1.3339","1.3222","","0.57%"
"04/12/2017","1.3253","1.3326","1.3341","1.3240","","-0.54%"
"04/11/2017","1.3325","1.3326","1.3359","1.3309","","-0.02%"
"04/10/2017","1.3327","1.3402","1.3428","1.3320","","-0.59%"
"04/07/2017","1.3406","1.3414","1.3433","1.3342","","-0.06%"
"04/06/2017","1.3414","1.3433","1.3452","1.3397","","-0.16%"
"04/05/2017","1.3435","1.3397","1.3441","1.3378","","0.25%"
"04/04/2017","1.3402","1.3380","1.3457","1.3373","","0.16%"
"04/03/2017","1.3380","1.3304","1.3401","1.3300","","0.50%"
"03/31/2017","1.3313","1.3343","1.3369","1.3283","","-0.22%"
"03/30/2017","1.3343","1.3326","1.3353","1.3277","","0.13%"
"03/29/2017","1.3326","1.3381","1.3401","1.3322","","-0.43%"
"03/28/2017","1.3383","1.3376","1.3415","1.3352","","0.04%"
"03/27/2017","1.3377","1.3377","1.3403","1.3321","","-0.01%"
"03/24/2017","1.3379","1.3351","1.3386","1.3345","","0.21%"
"03/23/2017","1.3351","1.3330","1.3358","1.3315","","0.17%"
"03/22/2017","1.3328","1.3353","1.3410","1.3320","","-0.18%"
"03/21/2017","1.3352","1.3349","1.3366","1.3264","","0.03%"
"03/20/2017","1.3348","1.3343","1.3373","1.3302","","-0.01%"
"03/17/2017","1.3350","1.3319","1.3379","1.3304","","0.23%"
"03/16/2017","1.3319","1.3307","1.3354","1.3276","","0.11%"
"03/15/2017","1.3304","1.3480","1.3487","1.3295","","-1.31%"
"03/14/2017","1.3480","1.3446","1.3496","1.3439","","0.25%"
"03/13/2017","1.3446","1.3457","1.3477","1.3430","","-0.19%"
"03/10/2017","1.3471","1.3509","1.3517","1.3421","","-0.29%"
"03/09/2017","1.3510","1.3490","1.3536","1.3481","","0.13%"
"03/08/2017","1.3493","1.3414","1.3501","1.3397","","0.59%"
"03/07/2017","1.3414","1.3410","1.3436","1.3382","","0.02%"
"03/06/2017","1.3411","1.3375","1.3426","1.3371","","0.25%"
"03/03/2017","1.3377","1.3391","1.3438","1.3373","","-0.10%"
"03/02/2017","1.3391","1.3325","1.3402","1.3321","","0.49%"
"03/01/2017","1.3326","1.3300","1.3358","1.3284","","0.20%"
"02/28/2017","1.3300","1.3176","1.3315","1.3163","","0.90%"
"02/27/2017","1.3182","1.3104","1.3182","1.3083","","0.70%"
"02/24/2017","1.3091","1.3105","1.3119","1.3055","","-0.11%"
"02/23/2017","1.3105","1.3164","1.3172","1.3083","","-0.45%"
"02/22/2017","1.3164","1.3139","1.3211","1.3110","","0.18%"
"02/21/2017","1.3141","1.3105","1.3166","1.3099","","0.27%"
"02/20/2017","1.3106","1.3106","1.3121","1.3075","","0.05%"
"02/17/2017","1.3099","1.3072","1.3127","1.3059","","0.21%"
"02/16/2017","1.3071","1.3077","1.3082","1.3008","","-0.06%"
"02/15/2017","1.3079","1.3077","1.3121","1.3064","","0.02%"
"02/14/2017","1.3077","1.3072","1.3109","1.3025","","0.04%"
"02/13/2017","1.3072","1.3090","1.3123","1.3055","","-0.07%"
"02/10/2017","1.3081","1.3147","1.3161","1.3064","","-0.49%"
"02/09/2017","1.3145","1.3145","1.3169","1.3093","","0.01%"
"02/08/2017","1.3144","1.3182","1.3201","1.3133","","-0.30%"
"02/07/2017","1.3183","1.3086","1.3215","1.3075","","0.77%"
"02/06/2017","1.3082","1.3024","1.3136","1.3006","","0.45%"
"02/03/2017","1.3023","1.3026","1.3078","1.2991","","-0.02%"
"02/02/2017","1.3026","1.3047","1.3053","1.2978","","-0.18%"
"02/01/2017","1.3049","1.3032","1.3103","1.3027","","0.15%"
"01/31/2017","1.3030","1.3118","1.3125","1.2969","","-0.66%"
"01/30/2017","1.3117","1.3148","1.3171","1.3075","","-0.27%"
"01/27/2017","1.3153","1.3089","1.3155","1.3087","","0.48%"
"01/26/2017","1.3090","1.3069","1.3132","1.3053","","0.15%"
"01/25/2017","1.3071","1.3158","1.3167","1.3059","","-0.67%"
"01/24/2017","1.3159","1.3238","1.3300","1.3107","","-0.59%"
"01/23/2017","1.3237","1.3322","1.3335","1.3219","","-0.64%"
"01/20/2017","1.3322","1.3319","1.3388","1.3283","","0.02%"
"01/19/2017","1.3319","1.3268","1.3354","1.3251","","0.37%"
"01/18/2017","1.3270","1.3040","1.3272","1.3037","","1.74%"
"01/17/2017","1.3043","1.3174","1.3191","1.3018","","-1.00%"
"01/16/2017","1.3175","1.3111","1.3189","1.3107","","0.47%"
"01/13/2017","1.3113","1.3147","1.3169","1.3112","","-0.24%"
"01/12/2017","1.3145","1.3179","1.3188","1.3030","","-0.25%"
"01/11/2017","1.3178","1.3232","1.3296","1.3119","","-0.41%"
"01/10/2017","1.3232","1.3217","1.3259","1.3191","","0.12%"
"01/09/2017","1.3216","1.3237","1.3278","1.3196","","-0.15%"
"01/06/2017","1.3236","1.3224","1.3269","1.3175","","0.08%"
"01/05/2017","1.3225","1.3302","1.3314","1.3192","","-0.57%"
"01/04/2017","1.3301","1.3431","1.3458","1.3281","","-0.96%"
"01/03/2017","1.3430","1.3443","1.3463","1.3399","","-0.06%"
"01/02/2017","1.3438","1.3437","1.3453","1.3387","","0.04%"
"12/30/2016","1.3433","1.3504","1.3511","1.3401","","-0.52%"
"12/29/2016","1.3503","1.3561","1.3566","1.3481","","-0.43%"
"12/28/2016","1.3561","1.3578","1.3601","1.3540","","-0.10%"
"12/27/2016","1.3575","1.3508","1.3581","1.3506","","0.47%"
"12/26/2016","1.3511","1.3532","1.3550","1.3478","","-0.18%"
"12/23/2016","1.3536","1.3484","1.3558","1.3477","","0.39%"
"12/22/2016","1.3483","1.3412","1.3521","1.3409","","0.52%"
"12/21/2016","1.3413","1.3367","1.3428","1.3356","","0.33%"
"12/20/2016","1.3369","1.3407","1.3436","1.3357","","-0.29%"
"12/19/2016","1.3408","1.3339","1.3423","1.3316","","0.54%"
"12/16/2016","1.3336","1.3337","1.3396","1.3318","","0.00%"
"12/15/2016","1.3336","1.3282","1.3419","1.3267","","0.41%"
"12/14/2016","1.3281","1.3131","1.3296","1.3080","","1.16%"
"12/13/2016","1.3129","1.3131","1.3142","1.3100","","-0.02%"
"12/12/2016","1.3131","1.3152","1.3165","1.3106","","-0.36%"
"12/09/2016","1.3179","1.3191","1.3216","1.3152","","-0.10%"
"12/08/2016","1.3192","1.3234","1.3253","1.3182","","-0.31%"
"12/07/2016","1.3233","1.3280","1.3300","1.3223","","-0.33%"
"12/06/2016","1.3277","1.3271","1.3313","1.3250","","0.07%"
"12/05/2016","1.3268","1.3295","1.3357","1.3233","","-0.20%"
"12/02/2016","1.3294","1.3316","1.3322","1.3253","","-0.16%"
"12/01/2016","1.3315","1.3440","1.3442","1.3298","","-0.89%"
"11/30/2016","1.3435","1.3431","1.3465","1.3355","","0.02%"
"11/29/2016","1.3432","1.3411","1.3481","1.3396","","0.15%"
"11/28/2016","1.3412","1.3523","1.3542","1.3398","","-0.87%"
"11/25/2016","1.3530","1.3486","1.3536","1.3452","","0.29%"
"11/24/2016","1.3491","1.3495","1.3540","1.3477","","0.02%"
"11/23/2016","1.3488","1.3439","1.3518","1.3422","","0.34%"
"11/22/2016","1.3442","1.3418","1.3468","1.3375","","0.18%"
"11/21/2016","1.3418","1.3499","1.3515","1.3383","","-0.61%"
"11/18/2016","1.3501","1.3521","1.3566","1.3490","","-0.16%"
"11/17/2016","1.3523","1.3447","1.3529","1.3399","","0.60%"
"11/16/2016","1.3443","1.3449","1.3506","1.3403","","-0.04%"
"11/15/2016","1.3449","1.3555","1.3562","1.3441","","-0.79%"
"11/14/2016","1.3556","1.3524","1.3590","1.3492","","0.09%"
"11/11/2016","1.3544","1.3472","1.3550","1.3453","","0.55%"
"11/10/2016","1.3470","1.3423","1.3510","1.3383","","0.37%"
"11/09/2016","1.3421","1.3287","1.3526","1.3262","","1.00%"
"11/08/2016","1.3288","1.3363","1.3392","1.3280","","-0.55%"
"11/07/2016","1.3361","1.3405","1.3419","1.3311","","-0.32%"
"11/04/2016","1.3404","1.3398","1.3466","1.3384","","0.06%"
"11/03/2016","1.3396","1.3393","1.3404","1.3359","","0.04%"
"11/02/2016","1.3390","1.3388","1.3424","1.3357","","0.00%"
"11/01/2016","1.3390","1.3407","1.3427","1.3351","","-0.15%"
"10/31/2016","1.3410","1.3395","1.3431","1.3373","","0.09%"
"10/28/2016","1.3398","1.3387","1.3433","1.3351","","0.08%"
"10/27/2016","1.3387","1.3382","1.3408","1.3350","","0.04%"
"10/26/2016","1.3381","1.3352","1.3386","1.3313","","0.22%"
"10/25/2016","1.3351","1.3287","1.3373","1.3275","","0.48%"
"10/24/2016","1.3287","1.3333","1.3398","1.3283","","-0.35%"
"10/21/2016","1.3333","1.3230","1.3356","1.3222","","0.78%"
"10/20/2016","1.3230","1.3114","1.3234","1.3108","","0.88%"
"10/19/2016","1.3114","1.3104","1.3142","1.3003","","0.04%"
"10/18/2016","1.3109","1.3129","1.3141","1.3052","","-0.12%"
"10/17/2016","1.3125","1.3139","1.3184","1.3109","","-0.11%"
"10/14/2016","1.3140","1.3192","1.3221","1.3103","","-0.38%"
"10/13/2016","1.3190","1.3277","1.3308","1.3184","","-0.65%"
"10/12/2016","1.3276","1.3266","1.3289","1.3207","","0.11%"
"10/11/2016","1.3262","1.3175","1.3274","1.3160","","0.66%"
"10/10/2016","1.3175","1.3280","1.3280","1.3137","","-0.92%"
"10/07/2016","1.3298","1.3218","1.3314","1.3185","","0.61%"
"10/06/2016","1.3218","1.3176","1.3249","1.3175","","0.32%"
