"Date","Price","Open","High","Low","Vol","Change %"
"12/05/2023","1.3590","1.3536","1.3596","1.3533","","0.39%"
"12/04/2023","1.3537","1.3506","1.3563","1.3479","","0.30%"
"12/01/2023","1.3497","1.3562","1.3570","1.3486","","-0.48%"
"11/30/2023","1.3562","1.3586","1.3628","1.3551","","-0.20%"
"11/29/2023","1.3589","1.3571","1.3616","1.3541","","0.11%"
"11/28/2023","1.3574","1.3620","1.3623","1.3559","","-0.30%"
"11/27/2023","1.3615","1.3635","1.3663","1.3613","","-0.15%"
"11/24/2023","1.3635","1.3694","1.3713","1.3593","","-0.42%"
"11/23/2023","1.3692","1.3687","1.3713","1.3650","","0.03%"
"11/22/2023","1.3688","1.3701","1.3767","1.3685","","-0.09%"
"11/21/2023","1.3700","1.3724","1.3733","1.3680","","-0.17%"
"11/20/2023","1.3724","1.3714","1.3750","1.3689","","0.04%"
"11/17/2023","1.3718","1.3755","1.3772","1.3707","","-0.27%"
"11/16/2023","1.3755","1.3684","1.3778","1.3677","","0.56%"
"11/15/2023","1.3678","1.3693","1.3712","1.3654","","-0.10%"
"11/14/2023","1.3692","1.3800","1.3845","1.3684","","-0.78%"
"11/13/2023","1.3799","1.3800","1.3833","1.3776","","0.00%"
"11/10/2023","1.3799","1.3810","1.3856","1.3791","","-0.05%"
"11/09/2023","1.3806","1.3795","1.3817","1.3745","","0.11%"
"11/08/2023","1.3791","1.3768","1.3816","1.3754","","0.18%"
"11/07/2023","1.3766","1.3700","1.3784","1.3690","","0.50%"
"11/06/2023","1.3697","1.3670","1.3704","1.3628","","0.28%"
"11/03/2023","1.3659","1.3738","1.3762","1.3652","","-0.57%"
"11/02/2023","1.3737","1.3859","1.3860","1.3736","","-0.86%"
"11/01/2023","1.3856","1.3874","1.3901","1.3841","","-0.13%"
"10/31/2023","1.3874","1.3826","1.3894","1.3813","","0.35%"
"10/30/2023","1.3825","1.3866","1.3878","1.3813","","-0.32%"
"10/27/2023","1.3869","1.3831","1.3881","1.3795","","0.27%"
"10/26/2023","1.3831","1.3796","1.3845","1.3788","","0.26%"
"10/25/2023","1.3795","1.3736","1.3812","1.3729","","0.42%"
"10/24/2023","1.3737","1.3688","1.3756","1.3660","","0.35%"
"10/23/2023","1.3689","1.3711","1.3738","1.3666","","-0.20%"
"10/20/2023","1.3716","1.3719","1.3736","1.3670","","-0.01%"
"10/19/2023","1.3718","1.3713","1.3742","1.3679","","0.02%"
"10/18/2023","1.3715","1.3649","1.3717","1.3616","","0.48%"
"10/17/2023","1.3649","1.3610","1.3704","1.3606","","0.29%"
"10/16/2023","1.3609","1.3670","1.3670","1.3606","","-0.35%"
"10/13/2023","1.3657","1.3690","1.3696","1.3636","","-0.23%"
"10/12/2023","1.3689","1.3594","1.3702","1.3578","","0.71%"
