"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2024","2,503.03","2,520.89","2,527.07","2,494.36","","-0.72%"
"08/29/2024","2,521.18","2,504.65","2,528.77","2,503.65","","0.76%"
"08/28/2024","2,502.25","2,522.74","2,529.15","2,493.66","","-0.88%"
"08/27/2024","2,524.57","2,518.30","2,526.27","2,503.41","","0.31%"
"08/26/2024","2,516.89","2,511.43","2,527.76","2,508.71","","0.19%"
"08/23/2024","2,512.07","2,482.20","2,518.45","2,481.20","","1.16%"
"08/22/2024","2,483.29","2,512.50","2,514.82","2,470.86","","-1.14%"
"08/21/2024","2,511.95","2,512.82","2,520.09","2,494.15","","-0.07%"
"08/20/2024","2,513.74","2,501.55","2,532.05","2,497.33","","0.39%"
"08/19/2024","2,503.92","2,508.40","2,510.45","2,485.83","","-0.13%"
"08/16/2024","2,507.28","2,456.57","2,509.89","2,450.76","","2.08%"
"08/15/2024","2,456.10","2,448.15","2,470.25","2,432.19","","0.35%"
"08/14/2024","2,447.64","2,467.40","2,478.49","2,438.12","","-0.71%"
"08/13/2024","2,465.03","2,472.64","2,477.02","2,458.50","","-0.29%"
"08/12/2024","2,472.25","2,431.21","2,473.48","2,423.84","","1.70%"
"08/09/2024","2,430.93","2,427.29","2,437.15","2,416.93","","0.17%"
"08/08/2024","2,426.75","2,382.43","2,427.80","2,380.70","","1.90%"
"08/07/2024","2,381.53","2,389.67","2,407.05","2,379.05","","-0.33%"
"08/06/2024","2,389.37","2,410.01","2,418.35","2,381.79","","-0.76%"
"08/05/2024","2,407.65","2,443.27","2,458.80","2,364.40","","-1.46%"
"08/02/2024","2,443.29","2,445.16","2,477.72","2,410.83","","-0.09%"
"08/01/2024","2,445.42","2,448.10","2,462.40","2,430.25","","-0.11%"
"07/31/2024","2,448.10","2,410.09","2,451.00","2,403.86","","1.65%"
"07/30/2024","2,408.43","2,383.66","2,413.00","2,376.51","","1.04%"
"07/29/2024","2,383.54","2,387.20","2,403.23","2,369.77","","-0.09%"
"07/26/2024","2,385.57","2,364.30","2,390.82","2,355.89","","0.89%"
"07/25/2024","2,364.50","2,398.49","2,401.32","2,353.19","","-1.38%"
"07/24/2024","2,397.59","2,408.94","2,432.05","2,396.50","","-0.48%"
"07/23/2024","2,409.21","2,396.80","2,412.15","2,388.26","","0.48%"
"07/22/2024","2,397.65","2,400.41","2,412.32","2,384.00","","-0.13%"
"07/19/2024","2,400.79","2,445.34","2,446.29","2,393.92","","-1.81%"
"07/18/2024","2,444.97","2,460.13","2,475.02","2,440.41","","-0.55%"
"07/17/2024","2,458.38","2,476.22","2,483.78","2,451.60","","-0.41%"
"07/16/2024","2,468.57","2,424.80","2,469.91","2,423.54","","1.92%"
"07/15/2024","2,422.07","2,409.50","2,439.74","2,401.35","","0.45%"
"07/12/2024","2,411.27","2,416.47","2,418.37","2,391.52","","-0.15%"
"07/11/2024","2,414.78","2,371.58","2,424.62","2,370.83","","1.84%"
"07/10/2024","2,371.07","2,363.80","2,386.75","2,362.73","","0.32%"
"07/09/2024","2,363.58","2,358.60","2,371.52","2,349.59","","0.20%"
"07/08/2024","2,358.80","2,391.77","2,391.85","2,351.16","","-1.37%"
"07/05/2024","2,391.46","2,358.01","2,393.04","2,354.03","","1.50%"
"07/04/2024","2,356.12","2,353.70","2,362.64","2,350.76","","0.00%"
"07/03/2024","2,356.06","2,328.00","2,365.06","2,326.93","","1.15%"
"07/02/2024","2,329.28","2,332.05","2,336.90","2,319.24","","-0.10%"
"07/01/2024","2,331.70","2,326.46","2,338.72","2,318.55","","0.26%"
"06/28/2024","2,325.71","2,327.75","2,339.79","2,319.15","","-0.07%"
"06/27/2024","2,327.45","2,299.80","2,331.00","2,296.50","","1.29%"
"06/26/2024","2,297.91","2,320.00","2,323.95","2,293.70","","-0.91%"
"06/25/2024","2,319.01","2,333.25","2,337.26","2,315.56","","-0.60%"
"06/24/2024","2,332.93","2,321.60","2,335.02","2,317.37","","0.54%"
"06/21/2024","2,320.34","2,360.30","2,368.85","2,316.76","","-1.66%"
"06/20/2024","2,359.63","2,329.15","2,365.52","2,327.30","","1.38%"
"06/19/2024","2,327.48","2,329.79","2,335.10","2,323.84","","-0.04%"
"06/18/2024","2,328.33","2,319.38","2,333.25","2,306.63","","0.41%"
"06/17/2024","2,318.87","2,332.20","2,333.48","2,310.02","","-0.59%"
"06/14/2024","2,332.52","2,302.52","2,336.87","2,301.35","","1.27%"
"06/13/2024","2,303.19","2,325.70","2,326.70","2,295.68","","-0.83%"
"06/12/2024","2,322.55","2,315.53","2,341.70","2,310.80","","0.27%"
"06/11/2024","2,316.27","2,311.00","2,320.17","2,297.69","","0.25%"
"06/10/2024","2,310.60","2,296.00","2,313.87","2,287.31","","0.78%"
"06/07/2024","2,292.71","2,376.50","2,387.85","2,286.77","","-3.49%"
"06/06/2024","2,375.61","2,355.16","2,378.57","2,353.60","","0.88%"
"06/05/2024","2,354.78","2,328.00","2,358.07","2,325.88","","1.16%"
"06/04/2024","2,327.68","2,349.00","2,351.76","2,315.53","","-0.96%"
"06/03/2024","2,350.35","2,329.61","2,354.82","2,314.76","","1.00%"
"05/31/2024","2,326.97","2,345.07","2,353.24","2,323.96","","-0.68%"
"05/30/2024","2,343.00","2,339.67","2,351.83","2,322.72","","0.18%"
"05/29/2024","2,338.77","2,361.00","2,362.86","2,334.75","","-0.94%"
"05/28/2024","2,360.95","2,352.29","2,364.12","2,340.17","","0.43%"
"05/27/2024","2,350.74","2,334.50","2,358.56","2,332.36","","0.73%"
"05/24/2024","2,333.76","2,328.40","2,347.54","2,325.40","","0.23%"
"05/23/2024","2,328.37","2,378.60","2,383.86","2,327.00","","-2.10%"
"05/22/2024","2,378.25","2,423.75","2,426.64","2,374.98","","-1.79%"
"05/21/2024","2,421.64","2,426.84","2,434.00","2,406.32","","-0.14%"
"05/20/2024","2,425.12","2,415.02","2,450.13","2,407.34","","0.42%"
"05/17/2024","2,414.89","2,376.81","2,422.87","2,373.96","","1.62%"
"05/16/2024","2,376.44","2,386.42","2,397.44","2,371.01","","-0.40%"
"05/15/2024","2,386.04","2,358.20","2,390.36","2,351.82","","1.19%"
"05/14/2024","2,357.97","2,338.20","2,359.83","2,334.55","","0.94%"
"05/13/2024","2,336.05","2,362.70","2,364.94","2,332.34","","-1.02%"
"05/10/2024","2,360.14","2,346.26","2,378.45","2,345.25","","0.61%"
"05/09/2024","2,345.88","2,309.04","2,347.59","2,306.67","","1.61%"
"05/08/2024","2,308.65","2,314.70","2,321.56","2,303.85","","-0.22%"
"05/07/2024","2,313.79","2,322.50","2,330.06","2,310.06","","-0.42%"
"05/06/2024","2,323.57","2,302.50","2,331.99","2,291.79","","0.96%"
"05/03/2024","2,301.56","2,303.20","2,321.64","2,277.47","","-0.08%"
"05/02/2024","2,303.29","2,319.89","2,326.57","2,285.58","","-0.63%"
"05/01/2024","2,317.90","2,285.91","2,328.40","2,281.66","","1.41%"
"04/30/2024","2,285.57","2,335.10","2,336.54","2,284.94","","-2.09%"
"04/29/2024","2,334.44","2,337.50","2,346.85","2,320.08","","-0.14%"
"04/26/2024","2,337.72","2,332.16","2,352.62","2,326.30","","0.25%"
"04/25/2024","2,331.78","2,316.20","2,344.86","2,305.28","","0.69%"
"04/24/2024","2,315.82","2,322.19","2,337.16","2,311.90","","-0.26%"
"04/23/2024","2,321.81","2,326.62","2,334.48","2,291.40","","-0.19%"
"04/22/2024","2,326.29","2,388.20","2,388.72","2,325.29","","-2.68%"
"04/19/2024","2,390.45","2,378.60","2,417.79","2,372.96","","0.51%"
"04/18/2024","2,378.25","2,360.74","2,392.84","2,360.70","","0.74%"
"04/17/2024","2,360.81","2,383.20","2,395.63","2,354.84","","-0.92%"
"04/16/2024","2,382.83","2,382.86","2,398.34","2,362.95","","0.01%"
"04/15/2024","2,382.51","2,343.86","2,387.59","2,324.59","","1.67%"
"04/12/2024","2,343.43","2,373.59","2,431.53","2,333.90","","-1.26%"
"04/11/2024","2,373.24","2,333.17","2,377.80","2,325.84","","1.73%"
"04/10/2024","2,332.79","2,352.91","2,360.15","2,319.54","","-0.84%"
"04/09/2024","2,352.58","2,339.24","2,365.34","2,336.94","","0.59%"
"04/08/2024","2,338.89","2,322.00","2,354.09","2,302.86","","0.40%"
"04/05/2024","2,329.50","2,289.88","2,330.34","2,267.85","","1.75%"
"04/04/2024","2,289.43","2,299.62","2,305.31","2,280.15","","-0.42%"
"04/03/2024","2,299.17","2,279.57","2,301.22","2,265.50","","0.84%"
"04/02/2024","2,280.10","2,250.88","2,281.17","2,246.79","","1.32%"
"04/01/2024","2,250.36","2,239.59","2,265.86","2,228.54","","0.81%"
"03/28/2024","2,232.38","2,194.19","2,235.90","2,187.33","","1.75%"
"03/27/2024","2,194.02","2,179.03","2,197.71","2,173.59","","0.71%"
"03/26/2024","2,178.58","2,171.82","2,200.15","2,167.75","","0.33%"
"03/25/2024","2,171.45","2,165.79","2,181.30","2,163.50","","0.34%"
"03/22/2024","2,164.15","2,181.50","2,186.25","2,157.15","","-0.76%"
"03/21/2024","2,180.81","2,186.00","2,222.90","2,166.50","","-0.24%"
"03/20/2024","2,185.96","2,158.29","2,188.90","2,149.60","","1.33%"
"03/19/2024","2,157.23","2,160.70","2,162.93","2,146.90","","-0.13%"
"03/18/2024","2,159.99","2,156.00","2,163.64","2,146.05","","0.21%"
"03/15/2024","2,155.54","2,162.40","2,173.25","2,155.19","","-0.25%"
"03/14/2024","2,161.01","2,174.29","2,177.10","2,152.86","","-0.62%"
"03/13/2024","2,174.40","2,158.25","2,179.91","2,155.54","","0.76%"
"03/12/2024","2,157.99","2,183.00","2,184.86","2,150.59","","-1.12%"
"03/11/2024","2,182.47","2,177.71","2,189.04","2,174.80","","0.23%"
"03/08/2024","2,177.51","2,159.40","2,195.20","2,154.08","","0.85%"
"03/07/2024","2,159.16","2,148.54","2,164.54","2,144.29","","0.51%"
"03/06/2024","2,148.29","2,127.95","2,152.29","2,123.65","","0.98%"
"03/05/2024","2,127.55","2,115.15","2,142.15","2,110.52","","0.59%"
"03/04/2024","2,114.99","2,082.09","2,119.95","2,079.45","","1.52%"
"03/01/2024","2,083.39","2,043.44","2,088.40","2,038.55","","1.96%"
"02/29/2024","2,043.24","2,034.92","2,050.79","2,027.75","","0.42%"
"02/28/2024","2,034.62","2,030.05","2,038.30","2,024.56","","0.25%"
"02/27/2024","2,029.64","2,030.99","2,039.99","2,028.78","","-0.05%"
"02/26/2024","2,030.66","2,034.49","2,037.59","2,025.10","","-0.25%"
"02/23/2024","2,035.72","2,024.49","2,041.43","2,015.55","","0.57%"
"02/22/2024","2,024.11","2,025.24","2,034.84","2,019.70","","-0.04%"
"02/21/2024","2,024.99","2,023.80","2,032.22","2,020.19","","0.07%"
"02/20/2024","2,023.53","2,017.99","2,030.96","2,015.02","","0.29%"
"02/19/2024","2,017.63","2,013.16","2,023.34","2,011.57","","0.22%"
"02/16/2024","2,013.10","2,004.40","2,015.25","1,995.26","","0.45%"
"02/15/2024","2,004.09","1,992.69","2,008.49","1,990.25","","0.59%"
"02/14/2024","1,992.39","1,992.55","1,996.14","1,984.30","","0.01%"
"02/13/2024","1,992.13","2,019.90","2,030.05","1,990.19","","-1.37%"
"02/12/2024","2,019.79","2,024.53","2,028.09","2,011.91","","-0.22%"
"02/09/2024","2,024.16","2,033.65","2,037.44","2,020.30","","-0.44%"
"02/08/2024","2,033.18","2,034.55","2,038.94","2,019.75","","-0.05%"
"02/07/2024","2,034.22","2,035.90","2,044.65","2,030.65","","-0.06%"
"02/06/2024","2,035.46","2,024.99","2,039.02","2,022.55","","0.53%"
"02/05/2024","2,024.67","2,039.91","2,042.32","2,014.40","","-0.68%"
"02/02/2024","2,038.59","2,055.09","2,058.20","2,027.45","","-0.79%"
"02/01/2024","2,054.89","2,037.59","2,065.42","2,029.55","","0.87%"
"01/31/2024","2,037.19","2,036.58","2,056.08","2,031.00","","0.05%"
"01/30/2024","2,036.12","2,031.97","2,048.48","2,029.19","","0.21%"
"01/29/2024","2,031.75","2,019.40","2,037.75","2,017.38","","0.66%"
"01/26/2024","2,018.34","2,019.94","2,026.80","2,015.97","","-0.07%"
"01/25/2024","2,019.75","2,012.84","2,025.27","2,010.15","","0.36%"
"01/24/2024","2,012.59","2,028.94","2,036.74","2,011.28","","-0.79%"
"01/23/2024","2,028.69","2,021.24","2,037.92","2,019.59","","0.38%"
"01/22/2024","2,020.99","2,029.90","2,032.28","2,016.74","","-0.40%"
"01/19/2024","2,029.09","2,023.05","2,039.49","2,020.37","","0.32%"
"01/18/2024","2,022.67","2,006.09","2,023.45","2,005.43","","0.85%"
"01/17/2024","2,005.72","2,027.90","2,033.05","2,001.91","","-1.08%"
"01/16/2024","2,027.59","2,054.91","2,055.65","2,024.29","","-1.31%"
"01/15/2024","2,054.49","2,048.09","2,059.25","2,045.80","","0.28%"
"01/12/2024","2,048.72","2,028.30","2,062.35","2,027.99","","1.02%"
"01/11/2024","2,028.09","2,023.74","2,039.69","2,013.32","","0.23%"
"01/10/2024","2,023.40","2,029.94","2,040.44","2,020.45","","-0.31%"
"01/09/2024","2,029.59","2,028.40","2,042.09","2,026.11","","0.09%"
"01/08/2024","2,027.84","2,044.08","2,046.71","2,016.84","","-0.86%"
"01/05/2024","2,045.50","2,043.69","2,064.03","2,024.49","","0.11%"
"01/04/2024","2,043.26","2,041.34","2,051.40","2,036.24","","0.12%"
"01/03/2024","2,040.78","2,059.15","2,066.12","2,030.68","","-0.88%"
"01/02/2024","2,058.88","2,062.90","2,079.02","2,056.04","","-0.24%"
"01/01/2024","2,063.80","2,064.24","2,074.90","2,063.30","","0.06%"
"12/29/2023","2,062.59","2,065.15","2,075.15","2,057.75","","-0.11%"
"12/28/2023","2,064.86","2,077.34","2,088.54","2,065.89","","-0.59%"
"12/27/2023","2,077.16","2,066.70","2,084.59","2,061.00","","0.51%"
"12/26/2023","2,066.60","2,055.73","2,068.65","2,053.59","","0.57%"
"12/25/2023","2,054.93","2,054.32","2,058.36","2,053.96","","0.10%"
"12/22/2023","2,052.98","2,045.84","2,070.65","2,045.65","","0.37%"
"12/21/2023","2,045.49","2,029.44","2,046.07","2,029.44","","0.80%"
"12/20/2023","2,029.19","2,040.34","2,043.94","2,029.37","","-0.54%"
"12/19/2023","2,040.12","2,027.30","2,047.07","2,021.74","","0.65%"
"12/18/2023","2,027.00","2,020.09","2,033.71","2,015.99","","0.44%"
"12/15/2023","2,018.19","2,035.80","2,045.55","2,015.68","","-0.85%"
"12/14/2023","2,035.53","2,026.59","2,047.98","2,024.33","","0.45%"
"12/13/2023","2,026.39","1,979.74","2,027.55","1,973.09","","2.37%"
"12/12/2023","1,979.44","1,981.59","1,996.80","1,977.19","","-0.09%"
"12/11/2023","1,981.30","2,003.60","2,008.72","1,975.95","","-1.10%"
"12/08/2023","2,003.39","2,028.69","2,034.19","1,994.74","","-1.23%"
"12/07/2023","2,028.34","2,025.30","2,039.93","2,020.26","","0.17%"
"12/06/2023","2,024.90","2,019.74","2,036.30","2,017.27","","0.27%"
"12/05/2023","2,019.42","2,030.15","2,041.33","2,010.02","","-0.51%"
"12/04/2023","2,029.74","2,071.25","2,135.90","2,020.34","","-1.99%"
"12/01/2023","2,070.90","2,034.49","2,075.34","2,033.75","","1.73%"
"11/30/2023","2,035.75","2,044.80","2,047.59","2,031.84","","-0.43%"
"11/29/2023","2,044.59","2,041.24","2,052.09","2,035.05","","0.18%"
"11/28/2023","2,040.89","2,013.94","2,043.00","2,011.60","","1.35%"
"11/27/2023","2,013.64","2,002.78","2,018.14","2,000.67","","0.58%"
"11/24/2023","2,001.97","1,994.06","2,003.68","1,991.40","","0.51%"
"11/23/2023","1,991.79","1,990.15","1,999.19","1,989.01","","0.10%"
"11/22/2023","1,989.72","1,998.69","2,006.90","1,986.89","","-0.43%"
"11/21/2023","1,998.37","1,977.49","2,007.52","1,977.34","","1.07%"
"11/20/2023","1,977.19","1,980.39","1,985.26","1,965.20","","-0.14%"
"11/17/2023","1,980.01","1,981.21","1,993.94","1,978.59","","-0.04%"
"11/16/2023","1,980.85","1,959.44","1,988.03","1,956.49","","1.11%"
"11/15/2023","1,959.09","1,963.05","1,975.59","1,955.41","","-0.18%"
"11/14/2023","1,962.67","1,946.19","1,970.84","1,943.40","","0.86%"
"11/13/2023","1,945.89","1,937.05","1,949.27","1,931.73","","0.47%"
"11/10/2023","1,936.79","1,958.40","1,960.93","1,933.18","","-1.09%"
"11/09/2023","1,958.19","1,950.09","1,965.69","1,944.30","","0.43%"
"11/08/2023","1,949.79","1,968.84","1,971.12","1,947.48","","-0.95%"
"11/07/2023","1,968.40","1,978.19","1,978.75","1,956.20","","-0.47%"
"11/06/2023","1,977.68","1,992.30","1,993.30","1,977.52","","-0.73%"
"11/03/2023","1,992.27","1,985.69","2,004.06","1,983.26","","0.34%"
"11/02/2023","1,985.51","1,983.53","1,991.49","1,978.90","","0.17%"
"11/01/2023","1,982.15","1,983.01","1,992.09","1,969.90","","-0.03%"
"10/31/2023","1,982.70","1,996.00","2,007.80","1,978.90","","-0.66%"
"10/30/2023","1,995.88","2,004.80","2,007.37","1,990.50","","-0.49%"
"10/27/2023","2,005.78","1,985.17","2,009.48","1,976.35","","1.06%"
"10/26/2023","1,984.82","1,979.97","1,994.05","1,971.60","","0.26%"
"10/25/2023","1,979.62","1,971.36","1,987.19","1,963.34","","0.48%"
"10/24/2023","1,970.11","1,972.97","1,980.99","1,953.50","","-0.13%"
"10/23/2023","1,972.59","1,972.90","1,983.40","1,964.36","","-0.43%"
"10/20/2023","1,981.04","1,974.31","1,997.27","1,971.93","","0.37%"
"10/19/2023","1,973.70","1,947.99","1,977.86","1,945.18","","1.34%"
"10/18/2023","1,947.69","1,923.70","1,962.74","1,923.05","","1.28%"
"10/17/2023","1,923.07","1,920.14","1,931.56","1,911.85","","0.19%"
"10/16/2023","1,919.44","1,929.30","1,931.80","1,907.65","","-0.63%"
"10/13/2023","1,931.70","1,869.02","1,933.76","1,868.94","","3.37%"
"10/12/2023","1,868.65","1,874.10","1,885.30","1,866.92","","-0.26%"
"10/11/2023","1,873.61","1,859.99","1,877.22","1,858.60","","0.73%"
"10/10/2023","1,860.09","1,861.27","1,865.65","1,852.65","","-0.04%"
"10/09/2023","1,860.88","1,832.74","1,864.15","1,832.63","","1.56%"
"10/06/2023","1,832.26","1,820.40","1,834.97","1,810.10","","0.67%"
"10/05/2023","1,820.01","1,820.49","1,829.30","1,812.70","","-0.06%"
"10/04/2023","1,821.08","1,824.30","1,831.05","1,816.15","","-0.10%"
"10/03/2023","1,822.81","1,827.96","1,833.36","1,814.70","","-0.25%"
"10/02/2023","1,827.40","1,848.13","1,849.06","1,826.60","","-1.13%"
"09/29/2023","1,848.31","1,865.43","1,880.24","1,846.34","","-0.87%"
"09/28/2023","1,864.56","1,875.73","1,880.15","1,857.76","","-0.54%"
"09/27/2023","1,874.70","1,900.69","1,903.95","1,872.47","","-1.36%"
"09/26/2023","1,900.49","1,916.03","1,916.89","1,899.17","","-0.79%"
"09/25/2023","1,915.66","1,925.24","1,927.26","1,915.00","","-0.48%"
"09/22/2023","1,924.99","1,920.08","1,929.65","1,919.58","","0.28%"
"09/21/2023","1,919.57","1,930.99","1,931.74","1,913.40","","-0.52%"
"09/20/2023","1,929.68","1,931.69","1,947.80","1,927.90","","-0.07%"
"09/19/2023","1,930.94","1,933.68","1,937.94","1,929.71","","-0.11%"
"09/18/2023","1,933.14","1,924.19","1,934.61","1,922.15","","0.50%"
"09/15/2023","1,923.57","1,910.90","1,930.84","1,909.74","","0.69%"
"09/14/2023","1,910.32","1,906.68","1,912.99","1,900.95","","0.21%"
"09/13/2023","1,906.30","1,913.55","1,916.30","1,905.50","","-0.36%"
"09/12/2023","1,913.26","1,922.90","1,925.05","1,907.15","","-0.44%"
"09/11/2023","1,921.66","1,919.16","1,930.90","1,916.90","","0.20%"
"09/08/2023","1,917.81","1,919.57","1,930.19","1,917.36","","-0.07%"
"09/07/2023","1,919.19","1,916.86","1,923.67","1,916.10","","0.15%"
"09/06/2023","1,916.28","1,926.16","1,929.80","1,914.80","","-0.50%"
"09/05/2023","1,925.81","1,938.59","1,939.13","1,925.22","","-0.64%"
"09/04/2023","1,938.19","1,940.49","1,946.42","1,936.15","","-0.03%"
"09/01/2023","1,938.80","1,940.19","1,953.44","1,934.59","","-0.05%"
"08/31/2023","1,939.74","1,942.61","1,948.19","1,938.86","","-0.13%"
"08/30/2023","1,942.24","1,937.48","1,949.04","1,934.94","","0.26%"
"08/29/2023","1,937.12","1,920.23","1,938.41","1,914.00","","0.91%"
"08/28/2023","1,919.66","1,916.09","1,926.19","1,912.83","","0.27%"
"08/25/2023","1,914.53","1,917.80","1,923.09","1,903.40","","-0.15%"
"08/24/2023","1,917.43","1,914.15","1,923.94","1,911.35","","0.16%"
"08/23/2023","1,914.31","1,897.80","1,920.94","1,897.23","","0.89%"
"08/22/2023","1,897.47","1,895.09","1,905.05","1,888.60","","0.19%"
"08/21/2023","1,893.94","1,889.40","1,899.05","1,884.50","","0.30%"
"08/18/2023","1,888.19","1,889.49","1,897.44","1,886.20","","-0.04%"
"08/17/2023","1,888.89","1,892.20","1,903.90","1,884.50","","-0.15%"
"08/16/2023","1,891.76","1,901.59","1,907.90","1,891.30","","-0.52%"
"08/15/2023","1,901.56","1,907.40","1,912.19","1,896.15","","-0.33%"
"08/14/2023","1,907.90","1,913.67","1,916.55","1,902.20","","-0.28%"
"08/11/2023","1,913.32","1,912.65","1,921.15","1,910.94","","0.07%"
"08/10/2023","1,912.06","1,914.94","1,930.11","1,911.73","","-0.13%"
"08/09/2023","1,914.59","1,925.16","1,932.48","1,914.05","","-0.53%"
"08/08/2023","1,924.82","1,936.76","1,938.15","1,922.50","","-0.60%"
"08/07/2023","1,936.39","1,942.59","1,946.81","1,931.53","","-0.27%"
"08/04/2023","1,941.62","1,934.12","1,947.19","1,929.75","","0.41%"
"08/03/2023","1,933.74","1,934.66","1,939.03","1,929.55","","0.01%"
"08/02/2023","1,933.56","1,945.74","1,955.40","1,933.00","","-0.54%"
"08/01/2023","1,944.08","1,965.10","1,966.24","1,941.20","","-1.02%"
"07/31/2023","1,964.19","1,959.49","1,972.44","1,951.00","","0.25%"
"07/28/2023","1,959.20","1,944.27","1,963.71","1,944.27","","0.73%"
"07/27/2023","1,944.99","1,972.08","1,982.24","1,942.61","","-1.38%"
"07/26/2023","1,972.10","1,964.99","1,978.31","1,961.99","","0.38%"
"07/25/2023","1,964.58","1,955.20","1,966.03","1,953.21","","0.52%"
"07/24/2023","1,954.51","1,962.09","1,967.97","1,953.42","","-0.29%"
"07/21/2023","1,960.23","1,969.99","1,973.89","1,956.82","","-0.48%"
"07/20/2023","1,969.62","1,976.80","1,987.59","1,965.40","","-0.39%"
"07/19/2023","1,977.25","1,978.97","1,981.05","1,969.75","","-0.07%"
"07/18/2023","1,978.71","1,954.59","1,984.39","1,954.44","","1.23%"
"07/17/2023","1,954.74","1,954.90","1,959.91","1,945.82","","-0.01%"
"07/14/2023","1,954.93","1,961.58","1,963.81","1,951.00","","-0.27%"
"07/13/2023","1,960.19","1,957.44","1,963.69","1,952.71","","0.16%"
"07/12/2023","1,957.09","1,932.59","1,959.82","1,932.18","","1.30%"
"07/11/2023","1,931.99","1,925.40","1,938.69","1,924.40","","0.36%"
"07/10/2023","1,924.99","1,925.19","1,928.31","1,912.68","","0.04%"
"07/07/2023","1,924.28","1,911.07","1,934.92","1,909.56","","0.71%"
"07/06/2023","1,910.80","1,916.05","1,927.69","1,902.68","","-0.34%"
"07/05/2023","1,917.32","1,925.90","1,935.17","1,914.48","","-0.40%"
"07/04/2023","1,925.09","1,921.78","1,930.84","1,919.90","","0.19%"
"07/03/2023","1,921.43","1,919.40","1,931.09","1,910.10","","0.10%"
"06/30/2023","1,919.57","1,908.53","1,922.90","1,900.56","","0.60%"
"06/29/2023","1,908.15","1,908.80","1,913.15","1,893.01","","0.04%"
